date,route_id,total_trips,early_am_trips,peak_am_trips,midday_trips,peak_pm_trips,evening_pm_trips,late_pm_trips,Value,label
2019-10-05,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-06,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-12,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-13,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-19,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-20,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-10-27,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-02,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-03,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-09,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-10,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-16,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-17,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-23,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-24,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-28,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-11-30,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-01,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-07,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-08,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-14,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-15,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-21,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-22,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-28,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2019-12-29,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-04,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-05,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-11,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-12,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-18,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-19,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-25,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-01-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-01,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-02,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-08,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-09,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-15,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-16,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-22,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-23,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-02-29,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-01,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-07,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-08,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-14,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-15,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-17,CR-Lowell,16,0,3,6,4,2,1,0,Typical trips
2020-03-18,CR-Lowell,16,0,3,6,4,2,1,0,Typical trips
2020-03-19,CR-Lowell,16,0,3,6,4,2,1,0,Typical trips
2020-03-20,CR-Lowell,16,0,3,6,4,2,1,0,Typical trips
2020-03-21,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-22,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-23,CR-Lowell,16,0,3,6,4,2,1,0,Typical trips
2020-03-24,CR-Lowell,16,0,3,6,4,2,1,0,Typical trips
2020-03-28,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-03-29,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-04,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-05,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-11,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-12,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-18,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-19,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-25,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-04-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-02,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-03,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-09,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-10,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-16,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-17,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-23,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-24,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-30,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-05-31,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-06,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-07,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-13,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-14,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-20,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-21,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-27,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-06-28,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-04,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-05,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-11,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-12,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-18,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-19,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-25,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-07-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-01,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-02,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-08,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-09,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-15,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-16,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-22,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-23,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-29,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-08-30,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-05,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-06,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-07,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-12,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-13,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-19,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-20,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-09-27,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-03,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-04,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-10,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-11,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-17,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-18,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-24,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-25,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-10-31,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-11-01,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-11-07,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-11-08,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-11-14,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-11-15,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-11-21,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-11-22,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-11-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-11-28,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-11-29,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-12-05,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-12-06,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-12-12,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-12-13,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-12-19,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-12-20,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-12-25,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-12-26,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2020-12-27,CR-Lowell,16,0,3,6,4,2,1,16,Typical trips
2021-01-02,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2021-01-03,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2021-01-09,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2021-01-10,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2021-01-16,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2021-01-17,CR-Lowell,16,0,3,6,3,3,1,0,Typical trips
2020-03-25,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-03-26,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-03-27,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-03-30,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-03-31,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-01,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-02,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-03,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-06,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-07,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-08,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-09,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-10,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-13,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-14,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-15,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
2020-04-16,CR-Lowell,17,1,3,6,4,2,1,0,Typical trips
