service_date,line,estimated_boardings,ObjectId
2020-06-22 04:00:00.000000 UTC,Lowell,421.0,6
2020-06-23 04:00:00.000000 UTC,Lowell,607.0,18
2020-06-24 04:00:00.000000 UTC,Lowell,600.0,30
2020-06-25 04:00:00.000000 UTC,Lowell,658.0,42
2020-07-02 04:00:00.000000 UTC,Lowell,869.0,52
2020-07-06 04:00:00.000000 UTC,Lowell,791.0,64
2020-07-07 04:00:00.000000 UTC,Lowell,905.0,76
2020-07-08 04:00:00.000000 UTC,Lowell,860.5,88
2020-07-09 04:00:00.000000 UTC,Lowell,1025.5,100
2020-06-26 04:00:00.000000 UTC,Lowell,677.5,104
2020-06-29 04:00:00.000000 UTC,Lowell,661.5,116
2020-06-30 04:00:00.000000 UTC,Lowell,675.0,128
2020-07-01 04:00:00.000000 UTC,Lowell,714.0,140
2020-07-10 04:00:00.000000 UTC,Lowell,950.5,162
2020-07-13 04:00:00.000000 UTC,Lowell,870.5,174
2020-07-14 04:00:00.000000 UTC,Lowell,931.5,186
2020-07-15 04:00:00.000000 UTC,Lowell,1037.0,198
2020-07-28 04:00:00.000000 UTC,Lowell,921.0,206
2020-07-29 04:00:00.000000 UTC,Lowell,926.5,218
2020-07-30 04:00:00.000000 UTC,Lowell,878.0,230
2020-07-31 04:00:00.000000 UTC,Lowell,844.0,242
2020-07-16 04:00:00.000000 UTC,Lowell,946.5,260
2020-07-17 04:00:00.000000 UTC,Lowell,847.0,272
2020-07-20 04:00:00.000000 UTC,Lowell,893.5,284
2020-07-21 04:00:00.000000 UTC,Lowell,879.0,296
2020-08-03 04:00:00.000000 UTC,Lowell,921.0,304
2020-08-04 04:00:00.000000 UTC,Lowell,848.0,316
2020-08-05 04:00:00.000000 UTC,Lowell,832.0,328
2020-08-06 04:00:00.000000 UTC,Lowell,972.0,340
2020-07-22 04:00:00.000000 UTC,Lowell,838.0,358
2020-07-23 04:00:00.000000 UTC,Lowell,842.5,370
2020-07-24 04:00:00.000000 UTC,Lowell,824.0,382
2020-07-27 04:00:00.000000 UTC,Lowell,920.0,394
2020-08-07 04:00:00.000000 UTC,Lowell,805.0,402
2020-08-10 04:00:00.000000 UTC,Lowell,934.0,414
2020-08-11 04:00:00.000000 UTC,Lowell,924.0,426
2020-08-12 04:00:00.000000 UTC,Lowell,1149.0,438
2020-08-13 04:00:00.000000 UTC,Lowell,1109.0,450
2020-08-20 04:00:00.000000 UTC,Lowell,909.0,461
2020-08-21 04:00:00.000000 UTC,Lowell,857.0,473
2020-08-24 04:00:00.000000 UTC,Lowell,913.0,485
2020-09-01 04:00:00.000000 UTC,Lowell,1058.0,494
2020-08-25 04:00:00.000000 UTC,Lowell,848.0,509
2020-09-02 04:00:00.000000 UTC,Lowell,1031.0,518
2020-09-03 04:00:00.000000 UTC,Lowell,1050.0,530
2020-09-04 04:00:00.000000 UTC,Lowell,1139.0,542
2020-09-11 04:00:00.000000 UTC,Lowell,1031.5,552
2020-09-14 04:00:00.000000 UTC,Lowell,1172.0,564
2020-09-15 04:00:00.000000 UTC,Lowell,1123.0,576
2020-09-16 04:00:00.000000 UTC,Lowell,1143.0,588
2020-09-17 04:00:00.000000 UTC,Lowell,1098.0,600
2020-09-07 04:00:00.000000 UTC,Lowell,999.5,604
2020-09-08 04:00:00.000000 UTC,Lowell,1022.0,616
2020-09-09 04:00:00.000000 UTC,Lowell,1086.5,628
2020-09-10 04:00:00.000000 UTC,Lowell,1045.5,640
2020-09-18 04:00:00.000000 UTC,Lowell,1078.0,662
2020-09-21 04:00:00.000000 UTC,Lowell,1111.0,674
2020-09-22 04:00:00.000000 UTC,Lowell,1093.0,686
2020-09-23 04:00:00.000000 UTC,Lowell,1152.0,698
2020-08-26 04:00:00.000000 UTC,Lowell,1032.0,708
2020-08-27 04:00:00.000000 UTC,Lowell,999.0,720
2020-08-28 04:00:00.000000 UTC,Lowell,836.0,732
2020-08-31 04:00:00.000000 UTC,Lowell,892.0,744
2020-08-14 04:00:00.000000 UTC,Lowell,859.0,762
2020-08-17 04:00:00.000000 UTC,Lowell,935.0,774
2020-08-18 04:00:00.000000 UTC,Lowell,894.0,786
2020-08-19 04:00:00.000000 UTC,Lowell,869.0,798
2020-10-29 04:00:00.000000 UTC,Lowell,1242.5,819
2020-09-24 04:00:00.000000 UTC,Lowell,1158.0,824
2020-10-16 04:00:00.000000 UTC,Lowell,1056.0,825
2020-10-06 04:00:00.000000 UTC,Lowell,1260.5,838
2020-10-19 04:00:00.000000 UTC,Lowell,1296.0,867
2020-10-20 04:00:00.000000 UTC,Lowell,1176.0,879
2020-10-21 04:00:00.000000 UTC,Lowell,1174.0,891
2020-10-22 04:00:00.000000 UTC,Lowell,1281.5,903
2020-09-25 04:00:00.000000 UTC,Lowell,1018.5,905
2020-09-28 04:00:00.000000 UTC,Lowell,1104.5,917
2020-09-29 04:00:00.000000 UTC,Lowell,1180.5,933
2020-10-07 04:00:00.000000 UTC,Lowell,1249.0,936
2020-10-30 04:00:00.000000 UTC,Lowell,1483.5,941
2020-10-08 04:00:00.000000 UTC,Lowell,1320.0,961
2020-11-02 05:00:00.000000 UTC,Lowell,1323.08,966
2020-10-09 04:00:00.000000 UTC,Lowell,1233.0,977
2020-11-03 05:00:00.000000 UTC,Lowell,1437.16,996
2020-10-23 04:00:00.000000 UTC,Lowell,1173.5,1012
2020-10-26 04:00:00.000000 UTC,Lowell,1145.0,1024
2020-10-27 04:00:00.000000 UTC,Lowell,1200.5,1036
2020-10-28 04:00:00.000000 UTC,Lowell,1184.5,1048
2020-10-12 04:00:00.000000 UTC,Lowell,825.0,1054
2020-10-13 04:00:00.000000 UTC,Lowell,1066.5,1066
2020-10-14 04:00:00.000000 UTC,Lowell,1291.0,1078
2020-10-15 04:00:00.000000 UTC,Lowell,1266.0,1090
2020-11-04 05:00:00.000000 UTC,Lowell,1372.68,1108
2020-11-05 05:00:00.000000 UTC,Lowell,1384.46,1120
2020-11-06 05:00:00.000000 UTC,Lowell,1389.42,1132
2020-11-09 05:00:00.000000 UTC,Lowell,1496.68,1144
2020-09-30 04:00:00.000000 UTC,Lowell,1142.5,1158
2020-10-01 04:00:00.000000 UTC,Lowell,1123.0,1170
2020-10-02 04:00:00.000000 UTC,Lowell,1171.5,1182
2020-10-05 04:00:00.000000 UTC,Lowell,1142.0,1194
2020-11-10 05:00:00.000000 UTC,Lowell,1464.44,1206
2020-11-11 05:00:00.000000 UTC,Lowell,1405.54,1218
2020-11-12 05:00:00.000000 UTC,Lowell,1367.1,1230
2020-11-13 05:00:00.000000 UTC,Lowell,1580.38,1242
2020-12-04 05:00:00.000000 UTC,Lowell,1509.08,1260
2020-12-07 05:00:00.000000 UTC,Lowell,1411.74,1272
2020-12-08 05:00:00.000000 UTC,Lowell,1333.62,1285
2020-12-09 05:00:00.000000 UTC,Lowell,1442.74,1297
2020-11-16 05:00:00.000000 UTC,Lowell,1396.86,1306
2020-11-17 05:00:00.000000 UTC,Lowell,1429.1,1318
2020-11-18 05:00:00.000000 UTC,Lowell,1851.32,1330
2020-12-16 05:00:00.000000 UTC,Lowell,738.0,1346
2020-11-30 05:00:00.000000 UTC,Lowell,1471.88,1359
2020-11-19 05:00:00.000000 UTC,Lowell,1596.5,1366
2020-12-17 05:00:00.000000 UTC,Lowell,353.0,1382
2020-12-18 05:00:00.000000 UTC,Lowell,716.0,1396
2020-12-21 05:00:00.000000 UTC,Lowell,770.5,1408
2020-12-01 05:00:00.000000 UTC,Lowell,1652.92,1424
2020-12-02 05:00:00.000000 UTC,Lowell,1435.92,1436
2020-12-03 05:00:00.000000 UTC,Lowell,1509.7,1448
2020-11-20 05:00:00.000000 UTC,Lowell,1302.62,1454
2020-12-22 05:00:00.000000 UTC,Lowell,787.0,1457
2020-11-23 05:00:00.000000 UTC,Lowell,1293.32,1478
2020-12-23 05:00:00.000000 UTC,Lowell,688.0,1481
2020-12-24 05:00:00.000000 UTC,Lowell,507.0,1497
2020-12-28 05:00:00.000000 UTC,Lowell,877.5,1509
2020-11-24 05:00:00.000000 UTC,Lowell,1413.6,1526
2020-11-25 05:00:00.000000 UTC,Lowell,1396.24,1538
2020-11-27 05:00:00.000000 UTC,Lowell,1117.86,1550
2020-12-10 05:00:00.000000 UTC,Lowell,1319.98,1558
2020-12-11 05:00:00.000000 UTC,Lowell,1432.82,1570
2020-12-14 05:00:00.000000 UTC,Lowell,808.0,1582
2020-12-15 05:00:00.000000 UTC,Lowell,752.0,1594
2021-01-12 05:00:00.000000 UTC,Lowell,894.0,1610
2021-01-13 05:00:00.000000 UTC,Lowell,755.0,1622
2021-01-14 05:00:00.000000 UTC,Lowell,669.0,1634
2021-01-15 05:00:00.000000 UTC,Lowell,632.0,1646
2020-12-29 05:00:00.000000 UTC,Lowell,778.5,1652
2020-12-30 05:00:00.000000 UTC,Lowell,1102.5,1664
2020-12-31 05:00:00.000000 UTC,Lowell,1052.0,1676
2021-02-04 05:00:00.000000 UTC,Lowell,766.0,1695
2021-01-04 05:00:00.000000 UTC,Lowell,878.5,1701
2021-01-06 05:00:00.000000 UTC,Lowell,1123.5,1708
2021-01-07 05:00:00.000000 UTC,Lowell,1201.5,1720
2021-01-08 05:00:00.000000 UTC,Lowell,670.0,1732
2021-01-11 05:00:00.000000 UTC,Lowell,752.0,1744
2021-01-05 05:00:00.000000 UTC,Lowell,806.0,1758
2021-01-29 05:00:00.000000 UTC,Lowell,746.0,1759
2021-01-25 05:00:00.000000 UTC,Lowell,820.0,1774
2021-02-01 05:00:00.000000 UTC,Lowell,872.0,1790
